pop    hidden elite  mutRate  mutStr   | gens      bestFit    bestScr   bestTime   trainSec  
20     12     4      0.15     0.50     | 4000      341.5      1800      30.4       46.4      
20     24     4      0.15     0.50     | 4000      369.4      1900      35.0       55.2      
20     36     4      0.15     0.50     | 4000      343.4      1800      30.3       64.1      
20     48     4      0.15     0.50     | 4000      552.1      2600      41.5       83.1      
40     12     8      0.15     0.50     | 4000      1725.1     7000      104.7      362.0     
40     24     8      0.15     0.50     | 4000      395.5      2000      31.7       113.9     
40     36     8      0.15     0.50     | 4000      652.1      3000      41.4       141.8     
40     48     8      0.15     0.50     | 4000      477.8      2300      35.3       163.5     
60     12     12     0.15     0.50     | 4000      1756.9     7200      104.2      284.2     
60     24     12     0.15     0.50     | 4000      1490.3     6200      89.4       365.7     
60     36     12     0.15     0.50     | 4000      997.0      4300      58.5       269.7     
60     48     12     0.15     0.50     | 4000      870.6      3800      52.3       282.4     
80     12     16     0.15     0.50     | 4000      3463.1     13600     188.9      554.6     
80     24     16     0.15     0.50     | 4000      812.7      3600      53.2       264.6     
80     36     16     0.15     0.50     | 4000      1490.2     6200      84.2       431.4     
80     48     16     0.15     0.50     | 4000      2487.0     9900      140.7      543.1     
